要求番号,分類,内容
1,要求,「ふるいわけ.htm」のフォルダ表示機能のGUIを再現すること。
,理由,まずはImageScreenerが起点となる簡単な機能から実装を始めるため。
,説明,-
2,要求,カレントディレクトリに存在する全サブフォルダ名をフォルダリストに表示すること。
,理由,画像の移動先フォルダを選択できるようにするため。
,説明,サブフォルダが存在しない場合はフォルダリストに何も表示しない。
3,要求,フォルダリストに表示したサブフォルダは1つだけ選択できるようにすること。
,理由,移動先は1つだけとなるため。
,説明,-
4,要求,フォルダリストに表示しきれない件数のフォルダがある場合、フォルダリストに縦スクロールバーを表示すること。
,理由,フォルダリストが縦長すぎると邪魔だと感じられるため。
,説明,-
5,要求,フォルダ追加機能を用いてサブフォルダを新規追加した後に、フォルダリストを最新に更新すること。
,理由,追加したフォルダを選択できるようにするため。
,説明,-
6,要求,［フォルダへ移動］ボタンを押下すると、移動先フォルダの選択状態をメッセージボックスで表示すること。
,理由,v0.4.0時点ではファイル移動は行わないが、処理を呼び出す部分までは作成する。その呼び出し動作の確認を行えるようにするため。
,説明,-
7,スタブ,移動先フォルダを選択している場合、メッセージボックスに選択したフォルダ名を表示する。
8,スタブ,移動先フォルダを選択していない場合、メッセージボックスに空欄を表示する。
