要求番号,分類,内容
1,要求,「ふるいわけ.htm」の新規フォルダ追加機能のGUIを再現すること。
,理由,まずはImageScreenerが起点となる簡単な機能から実装を始めるため。
,説明,-
2,GUI,《[「ふるいわけ.htm」とは.html](./「ふるいわけ.htm」とは.html)》に従い、新規フォルダ名入力用テキストボックスを表示する。
3,GUI,《[「ふるいわけ.htm」とは.html](./「ふるいわけ.htm」とは.html)》に従い、［フォルダ作成］ボタンを表示する。
4,要求,新規フォルダ名入力用テキストボックスに半角、および全角テキスト入力できること。
,理由,アルファベットだけではなく、日本語でもフォルダを作成できるようにするため。
,説明,WPFのデフォルトエンコードはutf8だろうか？ sjisに変換しなければ新規フォルダが文字化けするかもしれない。
5,要求,［フォルダ作成］ボタンを押下する、もしくは新規フォルダ名入力用テキストボックスでエンターキーを押下すると、新規フォルダ名入力用テキストボックスに入力した名前で新規フォルダを作成すること。
,理由,任意の名前で新規フォルダを作成できるようにするため。
,説明,日本語入力を確定させる際のエンターキー押下で新規フォルダが作成される場合、エンターキー押下で新規フォルダを作成する要求は満たさなくてよい。
6,要求,指定した名前で新規フォルダを作成できなかった場合はメッセージボックスを表示し、新規フォルダを作成できなかった旨をユーザーへ通知すること。
,理由,別の名称でフォルダを作成するように促すため。
,説明,Windowsの制約上フォルダ名に利用できない文字が存在する。フォルダ名入力時に検出可能であるが、実装負荷軽減のため新規フォルダ作成に失敗した場合に警告を表示するフローとする。
7,警告表示,メッセージボックスの表示は以下の通り。<br><br>タイトル：新規フォルダを作成できませんでした<br>本文：指定した名前ではフォルダを作成できません。別の名前を指定してください。<br>---- 以下、エラー内容 ----<br>（エラーの内容）
8,要求,新規フォルダ作成に成功した場合、新規フォルダ名入力用テキストボックスを空欄にすること。
,理由,次のフォルダ作成をシームレスに実行できるようにするため。
,説明,-
