要求番号,分類,内容
1,要求,チェックボックスをチェックした画像が存在する場合、［フォルダへ移動］ボタンをクリックするとを選択したフォルダへ移動させること。
,理由,画像の整理を実行するため。
,説明,この要求は、このツールの目的を実現するものとなる。
2,要求,チェックボックスををチェックした画像が存在しない場合、［フォルダへ移動］ボタンをクリックするとメッセージボックスを表示すること。
,理由,チェックボックスを選択していない旨をユーザーへ伝えるため。
,説明,この要求の動作はv0.5.0を踏襲する。不自然な動作である場合、新しい動作を検討する。
3,要求,移動先を選択せずに［フォルダへ移動］ボタンを押下した場合、移動先を選択していない旨をメッセージボックスで表示する。
,理由,スタブで作っていた機能を流用するため。
,説明,「ふるいわけ.htm」は移動先をデフォルト選択していたが、その選択先が正しいのかは判断できないので移動させる処理はやめてメッセージボックスを表示することにする。
4,要求,チェックボックスの全選択・全選択解除できるようにすること。
,理由,［フォルダへ移動］ボタンが有効に動作するタイミングに併せて機能を提供するため。
,説明,すでに実装済みのボタンに機能を追加する。
