要求番号,分類,内容
1,要求,メニューバーを追加すること。
,理由,メニューバーから設定ダイアログを呼び出すため。
,説明,画面上にボタンを配置してもよいのだが、邪魔になるので実施しない。
,メニューバー,メニューバーの項目は<ul><li>メニュー(F)<ul><li>設定(S)</li><li>終了(X)</li></ul></ul>とする。
2,要求,メニューバーから［メニュー(F)］-［設定(S)］を選択すると、表示可能な拡張子を選択するダイアログを表示すること。表示内容は《図1：表示対象ファイル設定ダイアログ》を参照。
,理由,ユーザーの環境に合わせて適切なファイル表示を行えるようにするため。
,説明,例えば、動画ファイルの読み込みには時間がかかるので、動画ファイルを表示させないような設定を行うことができる。
3,要求,ダイアログで選択した拡張子を記憶すること。
,理由,次回のアプリ起動時にも同じ設定で動作させるため。
,説明,ユーザー設定として記憶すればよい。
4,要求,~~ダイアログを閉じた後にターゲット画像を再描画すること。~~別に再描画しなくても問題はないのでそのままとする。
,理由,~~ユーザー設定を即座に確認できるようにするため。~~親ウィンドウの内容を更新する方法がわからない…。
,説明,~~設定を変更しなくても再描画することを許容する。~~-
5,要求,メニューバーから［メニュー(F)］-［終了(X)］を選択すると、アプリを終了すること。
,理由,一般的なメニューバーの機能を持たせるため。
,説明,別に必要はないのだが、にぎやかし機能として搭載する。
