要求番号,分類,内容
1,要求,表示している画像をクリックすると、OSに設定されたアプリで元画像を表示すること。
,理由,実際の画像を確認するため。
,説明,使い勝手によってはウィンドウ内ウィンドウなどで画像を表示し、内容を確認できるようにする予定。
